class; methods; cc; loc
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/Rook.java;2;12;52
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/database/DatabaseHandler.java;3;7;10
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/Pawn.java;1;9;27
/home/huberflo/Desktop/PerCom/apps/Chess/app/build/generated/not_namespaced_r_class_sources/debug/processDebugResources/r/org/gChess/R.java;0;0;0
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/Queen.java;2;6;49
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/edu/ut/mobile/network/Pack.java;6;12;7
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/cs/mc/ut/ee/logic/MiniMaxRemote.java;5;50;243
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/edu/ut/mobile/network/CloudController.java;3;6;45
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/Bishop.java;2;6;31
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/cache/tree/IntermediateTreeTraversalOrderEnum.java;0;0;0
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/edu/ut/mobile/network/ResultPack.java;4;7;7
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/cache/tree/IntermediateTreeNode.java;17;45;62
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/cache/tree/IntermediateTree.java;16;31;89
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/gChess.java;2;2;18
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/ChessBoard.java;12;73;202
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/edu/ut/mobile/network/Cloud.java;0;0;0
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/manager/MyEventContentProvider.java;5;33;120
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/Location.java;10;41;44
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/algorithm/MiniMax.java;4;48;214
/home/huberflo/Desktop/PerCom/apps/Chess/app/build/generated/source/buildConfig/debug/org/gChess/BuildConfig.java;0;0;0
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/King.java;1;3;6
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/ChessView.java;9;37;191
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/ChessSquare.java;7;12;17
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/database/DatabaseManager.java;2;2;9
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/cache/tree/TreeManager.java;1;2;5
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/cs/mc/ut/ee/utilities/Commons.java;0;0;0
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/database/EventDescriptor.java;1;1;7
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/Knight.java;1;2;19
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/database/DatabaseHelper.java;2;2;6
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/edu/ut/mobile/network/CloudRemotable.java;2;3;3
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/edu/ut/mobile/network/NetInfo.java;0;0;0
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/edu/ut/mobile/network/NetworkManagerClient.java;5;11;62
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/symlab/ust/hk/database/DatabaseCommons.java;3;7;10
/home/huberflo/Desktop/PerCom/apps/Chess/app/src/main/java/org/gChess/ChessPiece.java;10;25;38
